question_id,question_type,question,choices,answer,subject
1,multiple_choice,Select one INCORRECT statement about data used for quantification of transport terminal performance,"[""Data is needed to establish empirical relationships between parameters, but also to calibrate and validate models."", ""The quantity and quality of data has to be sufficient to achieve the accuracy required."", ""In order to gather the necessary data, one may go out and make one's own observations during some time."", ""Monitoring can be done at a specific location with equipment taking continuous measurements and transmitting or logging the data; or, it can also be by asking others to collect and transfer data during their operations."", ""The International Maritime Organization (IMO) requires ocean-going vessels to share their data on fuel oil consumption."", ""Data acquisition in a research or study should not be checked for possibility of conflict with legislation about privacy or data ownership (for instance, GDPR)."", ""Privacy problems can usually be avoided by anonymisation; but in some countries, there can be problems if data is traded to get money, or if they are considered of strategic importance."", ""It is important that data can be shared, because then they are of more value than in isolation."", ""When applied to similar situations, a well-validated model may produce results that correlate so well that they can be captured in a rule of thumb."", ""Some observed values are extreme - lie far out side the probability distribution, these are called outliers."", ""Outlier can be wrong, so it has to be explained or removed from the datasets, otherwise it may lead to a false correlation.""]",[5],transport
2,multiple_choice,"Select correct statements about interaction between the vessel speed, the traffic density and the traffic intensity in waterways.","[""at very low traffic density, the vessels can sail without mutual interaction"", ""as the density increases, the velocity starts decreasing, but at such a rate that the traffic intensity still increases; the intensity in this situation is less than the waterway's capacity"", ""this intensity increase continues until a maximum is reached; at that point; the intensity is equal to the capacity here"", ""as the density increases further, the ship speed decreases so strongly, that the intensity also starts decreasing, until it reaches zero at the density where sailing is no longer possible; in this situation the capacity decreases along with the intensity"", ""the relationship between vessel speed and traffic density cannot be determined empirically or from model simulations""]","[0, 1, 2, 3]",transport
3,multiple_choice,Select correct statements about locks in waterways.,"[""Locks, if present, are usually determining factors for a waterway's capacity."", ""Locks have to meet certain capacity requirements in order to comply with the other parts of the waterway."", ""Many locks are not only used by cargo ships."", ""New lock design is usually based only on rules of thumb."", ""A relevant question for lock design is how many vessels fit into a lock chamber of a given size, given the vessel mix.""]","[0, 1, 2, 4]",transport
4,multiple_choice,Select correct statements about container terminal equipment,"[""A selection needs to be made of: Quay-side equipment, Transfer equipment, from the quay side to the yard, Yard equipment"", ""Which equipment options are preferred depends primarily on container terminal throughput, terminal efficiency, costs."", ""For a container terminal operator to be competitive, costs per container (USD/TEU) should remain as low as possible, while sufficient service needs to be provided to the container owner in terms of terminal efficiency and throughput capacity."", ""A highly automated expensive equipment is able to offload the vessel quickly, yet subsequently would stand idle if it is installed in terminal on a small island with one vessel visit per week."", ""For a large and busy port, containers need to be offloaded as quickly as possible, against low costs, such that the shipping lines can continue as quickly as possible to their following destination.""]","[0, 1, 2, 3, 4]",transport
5,multiple_choice,"In times of drought, what measures can be taken to compensate the effects of low river discharges?","[""reducing the load factor of the vessels,"", ""taking an alternative route with more navigable depth,"", ""using vessels with a bigger draught,"", ""a different operational concept, e.g. 24/7,"", ""shifting cargo to a different transport mode,"", ""temporary storage of cargo and stock depletion by the client,"", ""adaptation of production processes to defer the transport of raw materials,"", ""pro-active stockage""]","[0, 1, 3, 4, 5, 6, 7]",transport
6,multiple_choice,Choose correct statements on intermodal containers (select all that apply),"[""40 foot containers are the most widespread type of container"", ""20 foot containers are the most widespread type of container"", ""Containers spend most the time in their lifespan being empty or idle"", ""Containers spend most the time in ocean transit"", ""Containers spend most the time in terminals""]","[0, 2]",transport
7,multiple_choice,"Choose correct statements about maritime, air, rail, and road modes (select all answers that apply)","[""Major shifts in aviation were as follows: using Unit Load Devices and airline deregulation followed by widespread hub-and-spoke structure of airport networks."", ""Compared to road transport, rail transport has lower capacity and higher use of surface."", ""Share of rail and pipeline in freight transportation within the EU is higher than in US (as of 2008)."", ""Road transport has lower cost for short distances, while maritime transport is less costly for longer distances. Rail transport is between road and rail in terms of transport cost by trip time."", ""Meter, Russian, and Indian rail gauges together are more prevalent worldwide relative to the standard rail gauge""]","[0, 3]",transport
8,multiple_choice,One of the following statements about CABOTAGE is wrong - select the incorrect answer:,"[""Cabotage is transport between two terminals located in the same country irrespective of the country in which the mode providing the service is registered."", ""Each nation reserves for its national carriers the right to move domestic freight or passenger traffic."", ""Transport services must avoid infringing national cabotage laws."", ""Cabotage cannnot prevent a foreign maritime company to carry freight between domestic ports."", ""Cabotage means the national carriage of goods for hire or reward carried out by non-resident haulers on a temporary basis.""]",[3],transport
9,multiple_choice,What are advantages and reasons for use of the container as a load unit for freight transportation? (choose all answers that apply),"[""enabling high-speed intermodal transfers in economically large units between ships, railcars, truck chassis, and barges"", ""using a minimum of labor during loading, unloading and transit"", ""standardized container serves as the load unit instead of the cargo contained inside the container"", ""better safety and security during transport"", ""none of the answers are correct""]","[0, 1, 2, 3]",transport
10,multiple_choice,Choose the correct statements about maritime shipping (select all that apply),"[""Majority of ships are built and owned by China, Japan, and South Korea"", ""Fuel consumption of ships at normal speed is lower than fuel consumption with slow steaming"", ""Manning, maintenance and repair together make up the biggest operating cost of common ships."", ""Break bulk and containers belong to bulk cargo type"", ""Landlocked countries have twice higher transport costs compared to the world average""]","[0, 4]",transport
11,multiple_choice,Choose correct statements about lifespan of transport equipment (select all that apply),"[""Locomotive and jet plane have about the same average lifespan"", ""Containers have longer lifespan than bridges"", ""Ports and railways have longer lifespan than other transportation facilities"", ""Cars have shorter lifespan compared to planes and locomotives""]","[0, 2, 3]",transport
12,multiple_choice,One of the statements about vicious circle in urban transport is WRONG - select the incorrect answer,"[""Vicious circle in cities is ring road"", ""Vicious circle leads to congestion."", ""Pressure to improve capacity of urban transport leads to expanding capacity. This improved mobility, which incites urban sprawl. Then movements get longer and more frequent. So the pressure to increase capacity arises again."", ""New transport capacity does not necessarily solve the congestion problem."", ""None of the answers.""]",[0],transport
13,multiple_choice,What factors contribute to growth of driving? (select all that apply),"[""Population growth"", ""More trips"", ""Longer trips"", ""Lower vehicle occupancy"", ""Switch to driving""]","[0, 1, 2, 3, 4]",transport
14,multiple_choice,Find two biggest reasons for congestion (select only TWO answers),"[""Recurring congestion"", ""Traffic incidents"", ""Work zones"", ""Weather"", ""Poor signal timing""]","[0, 1]",transport
15,multiple_choice,Which node on the graph is ROOT node?,"[""6"", ""7 and 8"", ""2"", ""3"", ""1""]",[4],transport
16,multiple_choice,Choose correct statement about circuits and cycles on the graph,"[""A is cycle, B and C are circuits only."", ""A and B are cycles,C is circuit only."", ""B and C are cycles, A is circuit only."", ""B is cycle, A and C are circuits only."", ""None of the answers""]",[2],transport
17,multiple_choice,Select three primary (the most important) chokepoint locations in the list below - select only THREE answers:,"[""Gibraltar"", ""Near Hokkaido island"", ""Near the Cape of Good Hope"", ""Bosporus"", ""The English Channel""]","[0, 2, 3]",transport
18,multiple_choice,"All of the following are representations of positive Network effect, except for...","[""Metcalfe's law: the value of a network is proportional to the square of connected nodes"", ""Complex networks are exponentially more valuable than simple networks"", ""Even when an isolated railway network is not connected to any other lines, initial choice is a standard rail gauge"", ""The utility of each phone in a phone network declines with new phones added to the network."", ""Online social networks such as Twitter and Facebook increasing in popularity due to more users.""]",[3],transport
19,multiple_choice,Which of the following statements is TRUE?,"[""If this was network of only point-to-point connections (without any hub), number of connections would be lower in order to ensure the same connectivity."", ""Passengers with the point of origin and destination iin the same quadrant may have to spend the extra travel time to travel to the hub."", ""Such hub and spoke networks are not common in the global transportation"", ""Hubs usually allow higher flexibility and less risk of congestion.""]",[1],transport
20,multiple_choice,"As passenger and freight transport extends and reaches optimal market potential, the following happens - choose only TWO answers.","[""Integration increases"", ""Number of providers decreases and then levels out"", ""Isolation increases"", ""Standartization gets very low"", ""None of the answers are correct""]","[0, 1]",transport
21,multiple_choice,A commercial document that decreases risks and facilitates export/import in international trade:,"[""Bill of Lading"", ""Invoice"", ""Purchase Order"", ""Letter of Credit"", ""Proforma Invoice""]",[3],transport
22,multiple_choice,Which of the following statements about cargo is TRUE?,"[""Grain is not perishable"", ""Vegetables have low perishability"", ""Clothing can be fragile"", ""Ore is fragile cargo"", ""Cargo inside containers cannot be fragile""]",[2],transport
23,multiple_choice,Which of the following is NOT a contemporary trend in transportation ?,"[""Growth of the demand related to individual (passengers) and freight mobility"", ""The share of transport activities in the economy changed considerably"", ""Reduction of costs over the last decades."", ""Expansion of infrastructures in roads, rails, harbors, airports, telecommunication facilities and pipelines.""]",[1],transport
24,multiple_choice,Which transport is considered as technology that might cause shifts in the future?,"[""Air"", ""Cable"", ""Rail"", ""Maglev"", ""None of the other answers""]",[3],transport
25,multiple_choice,Which of the following statements is NOT true?,"[""Low transportability means movement of passengers or freight is easy."", ""Political factors such as laws, regulations, borders and tariffs can influence mobility and transportability."", ""Transportability and mobility are related to transport costs as well as to the attributes of what is being transported (fragility, perishable, price)."", ""When mobility is high, activities are less constrained by distance."", ""Mobility: the ease of a movement of a passenger or a unit of freight.""]",[0],transport
26,multiple_choice,Logistical distance is different from other types of distances such as Euclidean and Transportation distances because...,"[""It has length"", ""It shows modes and process happening during the transportation"", ""It shows only modes of transport"", ""None of the answers is correct""]",[1],transport
27,multiple_choice,Great circle distance is (answer can be multiple choice)...,"[""The path followed by major intercontinental maritime and air routes between cities and ports."", ""The shortest path between Tokyo and Frankfurt"", ""The shortest distance between two points on a sphere."", ""Shortest straight line between two locations on a flat map"", ""None of the other answers""]","[0, 1, 2]",transport
28,multiple_choice,Bias in forecasting means:,"[""Big errors in forecasts"", ""Tendency to over-forecast or under-forecast"", ""Low responsiveness of forecast model"", ""Low stability of forecast model"", ""None of the answers""]",[1],transport
29,multiple_choice,"CPFR (Collaborative Planning, Forecasting and Replenishment) implies...","[""Improvement of company's own forecasting techniques"", ""Eliminating forecast bias"", ""Using sophisticated demand planning software"", ""Partner companies working closely together to share information and risk for improving forecasts."", ""Aggregation of demand.""]",[3],transport
30,multiple_choice,A retailer ordered 100 TV-sets from a manufacturer. Demand of the retailer is...,"[""Non-stationary"", ""Stochastic"", ""Random"", ""Deterministic"", ""None of the other answers""]",[3],transport
31,multiple_choice,Which of the following statements is NOT correct in network design usually?,"[""Facility location is strategic decision making"", ""The number and capacity of facilities should be determined"", ""Network design has long term impact on profitability"", ""In network design, the number of alternative designs, configurations and decision variables is very small."", ""In business, after a facility location is fixed, it is costly to move or close any facility.""]",[3],transport
32,multiple_choice,Which of the following reasons makes outsourcing more attractive,"[""Protection of proprietary technology and competitive advantage"", ""Quality if suppliers have better resources and economies of scale."", ""Lack of expertise at sourcing company"", ""Insufficient capacity at sourcing company"", ""Suppliers usually have cost advantage for standardized or generic supplies"", ""Absense of competent supplier"", ""Control of logistics cost due to production near the point of use"", ""Better quality control""]","[1, 2, 3, 4]",transport
33,multiple_choice,Which of the following assumptions does NOT suit break-even analysis well?,"[""constant fixed costs that do not change with production volume"", ""fixed costs are higher for make option"", ""linear variable costs"", ""quality of product or service affects costs"", ""variable costs are higher for buy option""]",[3],transport
34,multiple_choice,What is a standard contaner in air freight?,"[""twenty-foot equivalent unit (TEU)"", ""forty-foot equivalent unit"", ""Unit load device"", ""Pallet"", ""Suitcase""]",[2],transport
35,multiple_choice,Which of the following are the most important reasons for popularity of standardized intermodal containers? (select only TWO answers),"[""Less efort to load and reload compared to other types of containers"", ""They are durable and safe for transport and cargo storage"", ""Low weight and density of container"", ""Requirement of customers and governments"", ""Easy to inspect cargo""]","[0, 1]",transport
36,multiple_choice,What is the great-circle distance? (select all that apply),"[""Assuming the Earth is a perfect sphere, the shortest distance by road between two cities that are located in different countries"", ""Assuming the Earth is a perfect sphere, the shortest distance for an airplane between two airports that are located in different countries"", ""Assuming the Earth is a perfect sphere, the shortest distance by sea between two ports that are located in different countries"", ""Length of a circle - circumference"", ""The shortest distance between two points on the surface of a sphere""]","[1, 2, 4]",transport
37,multiple_choice,Which of the following is NOT an example of consolidation in freight?,"[""combining several LTL shipments into a full truckload"", ""combining several LTL shipments into one full intermodal container"", ""combining multiple shipments heading in similar locations into one"", ""shipping products as soon as possible after orders arrive"", ""waiting for extra orders from customers until the total number of ordered items is nearly enough to fill a truck""]",[3],transport
38,multiple_choice,Select TRUE statements about ordering in business (choose all that apply),"[""EOQ implies ordering for your business as much as customers demanded"", ""Lot for lot ordering minimizes inventory holding and setup costs"", ""Computer calculated orders are more common than manual calculation in manufacturing."", ""Determenistic demand allows using simple ordering policies compared to models of stochastic (uncertain) demand."", ""There is only one best ordering method for each specific business and it is not difficult to choose""]","[2, 3]",transport
39,multiple_choice,Select TRUE characteristics of MRP and ERP,"[""Legacy MRP is a new computer system introduced in recent years"", ""Closed-loop MRP usually includes extra functions such as capacity planning and feedback in addition to classic MRP functionality"", ""MRP-II is like normal MRP but includes advanced tools such finance"", ""ERP combines many computerized systems (including MRP) in business into one Enterprise Resource Planning that uses single database across various functions and branches of a company"", ""Companies must shift from legacy systems to ERP immediately otherwise they will loose competition and fail in any case""]","[1, 2, 3]",transport
